category_name,name,price,note
"موهيتو فيزي","بوبا كولا",70,""
"موهيتو فيزي","بوبا تفاح أخضر",70,""
"موهيتو فيزي","ميلك تشيك بوبا",85,"ستروبري، بلوبيري، باشون فروت"
"عصائر فريش","مانجو فريش",65,""
"عصائر فريش","جوافة فريش",55,""
"عصائر فريش","فراولة فريش",60,""
"عصائر فريش","برتقال فريش",60,""
"عصائر فريش","موز باللبن",50,""
"عصائر فريش","جوافة باللبن",60,""
"عصائر فريش","فراولة باللبن",65,""
"عصائر فريش","بلح موز باللبن",65,""
"عصائر فريش","بلح باللبن",50,""
"عصائر فريش","ليمون فريش",40,""
"عصائر فريش","ليمون نعناع فريش",45,""
"عصائر فريش","برتقال بالجزر",60,""
"عصائر فريش","بطيخ فريش",60,""
"عصائر فريش","بطيخ نعناع فريش",65,""
"عصائر فريش","جوافة نعناع فريش",65,""
"عصائر فريش","أناناس فريش",70,""
"عصائر فريش","كيوي فريش",80,""
"عصائر فريش","أفوكادو فريش",90,""
"زبادي وميلك شيك","زبادي كلاسيك",60,""
"زبادي وميلك شيك","زبادي عسل",65,""
"زبادي وميلك شيك","زبادي فواكه",80,""
"زبادي وميلك شيك","زبادي",75,"مانجو، خوخ، فراولة، موز"
"زبادي وميلك شيك","زبادي",80,"بلوبيري أو باشون فروت"
"زبادي وميلك شيك","ميلك تشيك كلاسيك",75,"فانيلا، شوكولاتة، كراميل، مانجو، فراولة، كيوي"
"زبادي وميلك شيك","ميلك تشيك ميجا",80,""
"زبادي وميلك شيك","ميلك تشيك كونو شيبس",80,""
"زبادي وميلك شيك","ميلك تشيك",85,"أوريو، كيت كات، لوتس، نوتيلا، سنيكرز"
"زبادي وميلك شيك","ميلك تشيك بستشيو",95,""
"زبادي وميلك شيك","ميلك تشيز كيك",135,"شوكولاتة، كراميل، مانجو، فراولة"
"مشروبات غازيه","آيس كريم بول",30,""
"مشروبات غازيه","آيس كريم ٣ بول",60,"مانجو، فراولة، شوكليت"
"مشروبات غازيه","أوريو مادنس",85,""
"مشروبات غازيه","تشيز مادنس",115,""
"مشروبات غازيه","بيبسي",35,""
"مشروبات غازيه","سفن أب",35,""
"مشروبات غازيه","توست",35,""
"مشروبات غازيه","فيروز",40,""
"مشروبات غازيه","بيريل",40,""
"مشروبات غازيه","فيوري",35,""
"مشروبات غازيه","شويبس",35,""
"مشروبات غازيه","ميرندا",35,"تفاح أو برتقال"
"مشروبات غازيه","ريد بول",80,""
"مشروبات غازيه","مياه",10,""
"الشاي والأعشاب","شاي أحمر",20,""
"الشاي والأعشاب","شاي أخضر",20,""
"الشاي والأعشاب","شاي باللبن",30,""
"الشاي والأعشاب","شاي أحمد تي",25,""
"الشاي والأعشاب","شاي كرك",40,""
"الشاي والأعشاب","شاي بالنكهات",30,""
"الشاي والأعشاب","قرفة",25,""
"الشاي والأعشاب","جنزبيل",25,""
"الشاي والأعشاب","شاي زارده بارد",50,""
"الشاي والأعشاب","ينسون ونعناع وكركديه وليمون",20,""
"الشاي والأعشاب","هوت سيدر",45,""
"الشاي والأعشاب","كوكتيل أعشاب صيدلية",50,""
"الشاي والأعشاب","هوت سحلب مكسرات",60,""
"الشاي والأعشاب","هوت سحلب فاكهة",80,""
"الشاي والأعشاب","قرفة باللبن",45,""
"الشاي والأعشاب","شاي أحمر نعناع",25,""
"سموزي وكوكتيل","سموزي مانجو",65,""
"سموزي وكوكتيل","سموزي فراولة",60,""
"سموزي وكوكتيل","سموزي ليمون",50,""
"سموزي وكوكتيل","سموزي ليمون نعناع",55,""
"سموزي وكوكتيل","سموزي بطيخ",60,""
"سموزي وكوكتيل","سموزي كيوي",80,""
"سموزي وكوكتيل","سموزي بلوبيري",70,""
"سموزي وكوكتيل","سموزي ميكس بيري",70,""
"سموزي وكوكتيل","سموزي باشون فروت",70,""
"سموزي وكوكتيل","سموزي بينا بول",80,""
"سموزي وكوكتيل","سموزي خوخ",70,""
"سموزي وكوكتيل","سموزي بطيخ نعناع",65,""
"سموزي وكوكتيل","سموزي بيري شيري",80,""
"سموزي وكوكتيل","البوم أفوكادو",120,"أفوكادو، كيوي، جريب فروت"
"سموزي وكوكتيل","٦ بور أفوكادو",135,"أفوكادو وريد بول"
"سموزي وكوكتيل","إيكا الخميس",140,"أفوكادو، كيوي، موز، ريد بول"
"سموزي وكوكتيل","٦× باور",120,"أفوكادو، كيوي، موز، بلح"
"سموزي وكوكتيل","إيكا كوكتيل",90,"كيوي، موز، تفاح، مانجو، فراولة"
"سموزي وكوكتيل","فروت سلاد",90,"مانجو، موز، تفاح، فراولة"
"سموزي وكوكتيل","فخفخينا",85,"أناناس، موز، كيوي، مانجو"
"سموزي وكوكتيل","فلوريد فول",70,""
"سموزي وكوكتيل","مانجو كيوي",85,""
"سموزي وكوكتيل","مانجو خوخ",85,""
"سموزي وكوكتيل","كيوي ليمون نعناع",85,""
"سموزي وكوكتيل","موسكو",85,"موز، مانجو، باشون"
"سموزي وكوكتيل","مالديف",85,"كيوي، فراولة، جوز هند"
